CODE,Group,METTL3,METTL14,METTL16,WTAP,KIAA1429,ZC3H13,CBLL1,RBM15,RBM15B,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,HNRNPC,RBMX,FMR1,HNRNPA2B1,IGFBP1,IGFBP2,IGFBP3,PRRC2A,FTO,ALKBH5,"SampleName"
"GBM(T=153,N=1157)",Tumor,32.099,8.8002,13.2103,69.4296,32.5696,11.4001,13.6999,2.84,17.3795,26.6792,4.7899,31.3404,32.7689,14.3701,404.1078,110.9286,14.5899,541.3423,0.21,1064.8235,328.4877,203.8965,37.1802,55.2795,"TCGA-26-5135-01"
"GBM(T=153,N=1157)",Tumor,68.0715,14.0198,17.0596,57.691,31.8507,17.22,23.0907,3.4299,26.0001,42.1093,10.2401,48.9817,53.7009,22.8107,667.3491,203.9106,21.0498,965.745,0.78,1128.1934,150.8625,181.6342,66.3111,65.1719,"TCGA-76-4931-01"
"GBM(T=153,N=1157)",Tumor,15.2602,9.4299,6.59,97.8015,19.2799,4.94,12.4501,2.5101,13.9597,22.99,4.3399,29.4307,27.82,14.6,340.0954,100.1477,17.0904,342.1762,0.99,669.5267,194.2799,79.4173,34.5606,51.9399,"TCGA-41-3915-01"
"GBM(T=153,N=1157)",Tumor,23.3094,6.3202,15.1601,97.7676,21.2403,7.13,11.3701,1.23,11.6598,24.1398,5.94,23.9,34.391,15.5302,287.1966,80.4702,10.9698,396.9453,0.76,216.1656,79.8479,73.2613,68.8784,36.3091,"TCGA-06-0649-01"
"GBM(T=153,N=1157)",Tumor,56.7983,11.33,14.46,109.8192,34.1203,16.7097,24.1398,3.16,16.5105,54.9586,7.3,42.3111,46.6909,24.5498,706.1339,210.0069,28.879,810.6291,1.8,1080.0622,161.1088,159.6857,44.16,79.1096,"TCGA-12-0618-01"
"GBM(T=153,N=1157)",Tumor,23.1403,4.8699,7.9901,101.5105,17.5004,3.2399,7.2501,1.59,9.7503,15.5098,2.4099,17.99,39.6696,9.2602,530.7532,103.9385,8.5702,358.9393,0.8,2118.8993,2127.5824,79.0494,14.5405,49.5108,"TCGA-27-2524-01"
"GBM(T=153,N=1157)",Tumor,37.7201,9.6602,14.5899,56.641,31.8596,14.0296,18.5999,2.7999,25.3998,35.7002,8.2,34.17,46.5713,19.7904,533.3716,179.8926,19.7096,920.1967,1.73,1200.3994,105.4187,130.7157,57.0983,51.9111,"TCGA-28-1753-01"
"GBM(T=153,N=1157)",Tumor,11.2697,5.6199,6.7299,92.1418,24.7103,3.2699,12.3504,1.22,3.6399,12.8197,2.1701,24.5396,34.329,15.4304,500.4899,119.4603,7.7099,336.6477,2.18,933.2362,52.3883,42.3199,22.1101,30.6806,"TCGA-12-5295-01"
"GBM(T=153,N=1157)",Tumor,44.3102,16.0501,12.2303,93.079,31.9702,12.3804,23.1307,2.5501,22.4203,38.2599,6.4098,50.8393,53.1417,22.5998,717.5811,238.3923,19.64,926.3403,0.21,1493.2076,871.4647,123.6817,63.061,51.1787,"TCGA-27-2523-01"
"GBM(T=153,N=1157)",Tumor,36.3998,5.4901,13.4599,106.8532,48.3609,14.8501,11.7198,3.46,13.1099,28.6597,5.1502,37.3688,50.6985,39.2811,562.7294,182.9102,23.9697,376.6279,0.27,213.2931,11.24,118.3805,23.5008,47.8607,"TCGA-06-2569-01"
"GBM(T=153,N=1157)",Tumor,36.2412,11.3104,15.0199,199.5481,41.8996,8.8301,18.5896,2.86,19.8398,38.4594,9.0998,41.0601,45.8887,22.9296,518.6787,135.2973,22.8803,749.8187,2.56,448.7589,322.2632,127.0532,38.2096,57.6311,"TCGA-27-1830-01"
"GBM(T=153,N=1157)",Tumor,51.3991,39.0693,16.4796,156.2585,34.4602,10.5302,23.15,4.5998,15.77,50.3413,10.4004,39.3601,47.1397,30.0096,780.9022,221.8581,34.0588,893.2984,3.36,920.7709,559.1135,133.8793,59.198,61.4302,"TCGA-06-2559-01"
"GBM(T=153,N=1157)",Tumor,21.9194,4.9202,8.6598,71.9578,23.7201,4.6399,9.1899,0.95,5.0701,14.0597,1.31,37.5401,27.2909,18.5703,504.1108,74.5781,10.1201,317.3642,1.08,473.1314,49.4216,59.962,26.2409,34.3005,"TCGA-27-2526-01"
"GBM(T=153,N=1157)",Tumor,41.1114,13.2103,17.3398,112.4225,38.6705,8.6899,15.8896,3.59,17.2105,39.4093,9.4097,37.6104,64.7801,24.18,577.7884,174.3076,19.9501,785.6256,1.04,828.8104,17.9302,62.491,72.4985,65.3121,"TCGA-06-5856-01"
"GBM(T=153,N=1157)",Tumor,42.1911,6.59,8.5199,53.3706,24.4903,13.7599,10.58,1.8,9.7801,31.1391,7.0201,31.3491,26.4894,14.2205,427.4751,86.6173,21.2506,498.2055,0.35,23.3806,9.0201,126.4382,52.1311,24.7806,"TCGA-26-1442-01"
"GBM(T=153,N=1157)",Tumor,42.1209,13.8201,14.0403,234.5731,24.2202,10.35,23.62,3.1699,11.4302,27.5895,4.7299,38.1805,20.2202,24.2892,647.034,111.3986,14.8604,515.4888,1.6601,771.915,768.4982,84.6702,19.0805,63.8483,"TCGA-06-5418-01"
"GBM(T=153,N=1157)",Tumor,36.9899,12.4899,15.5001,226.2844,36.1108,15.6404,15.7897,2.53,17.9302,39.2893,7.0401,56.0085,47.8906,25.8796,712.0319,110.6214,20,799.1365,1.65,1323.0014,283.9897,148.6515,46.6715,58.7687,"TCGA-26-5139-01"
"GBM(T=153,N=1157)",Tumor,29.0296,22.6704,19.7698,117.8402,31.2797,7.9597,19.1401,3.34,11.3804,46.8497,8.0602,33.7603,44.2488,30.02,672.4102,236.2702,24.0996,681.3715,1.87,82.922,66.1321,68.4216,54.2208,35.9709,"TCGA-06-5417-01"
"GBM(T=153,N=1157)",Tumor,4.0501,1.49,3.7699,11.6704,8.0001,2.4599,2.15,1.07,3.59,6,1.59,5.4499,9.5001,3.18,74.6919,26.8109,4.54,149.0229,0.09,123.5789,17.9004,44.3194,10.0002,8.2199,"TCGA-26-5134-01"
"GBM(T=153,N=1157)",Tumor,41.5612,16.0401,13.68,79.7207,22.1807,11.1802,20.6094,2.79,15.8302,31.7097,6.1201,30.3695,57.229,23.4894,751.1713,233.0012,15.5496,895.4682,0.85,906.2708,118.151,62.478,60.6013,37.9904,"TCGA-06-5413-01"
"GBM(T=153,N=1157)",Tumor,29.7693,17.3494,32.2797,49.6896,39.5297,7.9901,22.2994,3.3101,24.2892,38.8398,6.5101,58.2899,57.4795,17.8806,463.3623,135.2504,23.1307,595.7642,0.78,425.583,99.8497,74.8889,114.9599,97.8287,"TCGA-76-4929-01"
"GBM(T=153,N=1157)",Tumor,27.3098,12.6204,18.7605,165.489,24.7206,13.6204,24.5805,2.6801,17.7103,34.6806,8.2502,44.8696,43.6487,21.2698,385.9837,136.4747,24.0296,732.4051,0.91,504.006,334.2064,146.8796,66.8881,50.2089,"TCGA-06-0646-01"
"GBM(T=153,N=1157)",Tumor,36.181,4.26,7.9901,112.6878,17.6002,5.94,15.2698,1.79,14.94,19.0805,4.0799,26.19,37.1106,19.1494,760.7075,287.3958,15.1202,610.8599,3.2099,2083.3641,184.2463,75.201,42.5494,37.1905,"TCGA-12-3650-01"
"GBM(T=153,N=1157)",Tumor,33.6902,9.1201,14.0597,73.3121,21.4103,11.8604,9.5603,1.75,11.6098,33.6599,6.5002,51.0193,29.3798,15.0199,441.3553,98.9471,20.6494,450.2857,2.86,364.9098,110.6905,96.4484,69.8205,42.361,"TCGA-19-2620-01"
"GBM(T=153,N=1157)",Tumor,18.6606,12.6099,11.8703,276.8757,17.3904,4.6799,10.0802,1.11,6.9,18.1994,3.9601,27.9301,29.2497,18.8805,501.08,108.1798,9.0101,350.1904,5.47,206.2132,200.6021,33.0793,37.6209,33.9904,"TCGA-28-5213-01"
"GBM(T=153,N=1157)",Tumor,23.9697,3.6599,13.8201,161.7241,28.879,4.1999,7.9802,0.95,7.79,14.6802,4.0299,37.5505,25.1405,16.1595,305.0909,100.593,12.4899,263.9818,2.13,356.9791,194.6438,73.7505,37.1699,36.3898,"TCGA-06-0138-01"
"GBM(T=153,N=1157)",Tumor,44.8199,12.2498,16.7596,66.8696,28.099,10.9197,18.8099,2.63,15.6101,31.6,8.0101,65.059,36.8901,24.2001,516.0608,147.6452,20.8104,645.7795,1.9201,473.5579,114.5781,91.4103,55.0692,47.6687,"TCGA-06-5415-01"
"GBM(T=153,N=1157)",Tumor,18.56,4.9001,7.1498,188.5224,24.4496,3.0999,6.7201,1.33,6.64,11.4302,3.59,21.32,26.5207,17.9004,358.0199,70.9918,8.5702,176.9125,2.05,171.3844,118.3887,48.4112,15.4005,25.7294,"TCGA-06-0139-01"
"GBM(T=153,N=1157)",Tumor,25.5003,12.1298,11.4104,125.5039,18.8295,15.4904,14.0597,2.14,14.2205,35.6507,7.3,39.6586,36.6302,20.8306,396.9178,133.7309,27.0105,513.4917,1.11,372.7323,176.8634,88.6522,73.099,54.1381,"TCGA-02-0047-01"
"GBM(T=153,N=1157)",Tumor,16.2697,11.8604,13.3197,319.4166,29.5595,14.8903,16.5403,3.8001,15.2201,43.2002,5.6999,38.4594,41.3887,24.8805,572.4467,82.4006,13.7104,457.2999,3.3,850.4593,223.2774,111.7698,55.1418,86.6894,"TCGA-14-0789-01"
"GBM(T=153,N=1157)",Tumor,28.5803,6.3602,12.0803,84.7701,32.2395,7.4902,12.8597,1.78,11.6898,23.8504,3.9099,27.5704,39.1506,16.5598,661.1793,179.7057,11.83,530.606,1.5,683.8319,87.6015,93.2793,46.4102,36.2689,"TCGA-12-0616-01"
"GBM(T=153,N=1157)",Tumor,37.4803,8.4998,10.7002,119.4521,21.0994,5.34,10.7403,1.82,8.4598,19.7397,5.9301,21.9103,29.8892,17.1902,430.7768,117.7177,11.9296,373.6895,5.4202,1629.2577,376.0801,76.7812,36.3091,31.7405,"TCGA-32-1982-01"
"GBM(T=153,N=1157)",Tumor,17.2403,13.5001,21.0498,75.5511,24.4107,9.6501,10.1103,2.01,6.4298,26.4894,5.7098,31.8397,41.5987,17.4701,585.1641,174.368,19.5396,582.0493,1.95,365.5173,13.2598,28.6001,63.9591,41.1,"TCGA-28-5220-01"
"GBM(T=153,N=1157)",Tumor,22.7302,4.4201,6.91,112.5473,20.1293,2.3001,7.44,1.39,6.9201,13.6999,3.03,18.6994,34.31,15.5701,531.2685,136.8536,10.5602,237.5346,1.3,554.2517,15.36,33.1091,25.9893,30.189,"TCGA-14-0817-01"
"GBM(T=153,N=1157)",Tumor,15.2899,3.52,4.9499,38.7403,17.1201,4.4999,8.5797,1.57,8.1,17.4604,2.3801,32.7803,24.8305,14.0101,419.8111,132.7795,11.54,270.0335,0.87,948.8909,26.7793,51.0405,29.3309,35.6606,"TCGA-12-1597-01"
"GBM(T=153,N=1157)",Tumor,64.0878,11.3402,11.9902,85.1883,28.899,11.3198,13.7503,3.2099,20.5196,46.9212,7.5199,33.9504,47.6489,20.0806,531.2316,175.7148,26.9899,633.5865,1.97,173.8129,55.6602,138.1115,50.1602,43.6003,"TCGA-06-2570-01"
"GBM(T=153,N=1157)",Tumor,44.4755,11.04,13.4803,166.3582,29.0699,12.065,22.8893,2.35,20.6696,32.8899,7.7651,47.1054,48.0938,29.96,633.6565,193.0958,28.9197,749.7387,3.065,843.9704,428.1147,109.4705,66.9146,42.6239,"TCGA-06-0211-01"
"GBM(T=153,N=1157)",Tumor,21.6506,10.3299,15.1296,94.313,57.2409,9.1803,12.4803,2.9699,27.1607,34.3005,3.8899,28.7392,58.4396,25.6101,659.2116,252.6847,21.8693,745.1557,2.39,1167.008,109.4696,110.9286,41.83,51.0582,"TCGA-02-2483-01"
"GBM(T=153,N=1157)",Tumor,26.9697,11.2752,15.3345,350.1364,25.12,5.7899,24.2146,3.3049,20.7046,28.4692,9.21,35.9846,43.6254,26.0346,442.4235,177.5335,21.5549,503.9558,1.64,441.5392,340.275,111.1372,42.6156,49.5054,"TCGA-06-0156-01"
"GBM(T=153,N=1157)",Tumor,33.6389,8.9101,12.8802,70.1115,26.72,10.1799,15.9403,2.09,17.6797,28.181,5.0701,40.0093,40.0704,16.4899,449.039,118.0937,20.1894,504.0759,0.35,1150.8617,69.7915,151.975,64.2212,43.8215,"TCGA-27-1837-01"
"GBM(T=153,N=1157)",Tumor,38.7,14.8203,15.3504,61.7804,36.7701,16.2697,28.2201,3.1999,24.3701,41.541,6.9,34.9388,53.1601,27.6393,675.8681,210.5608,22.2007,957.8783,4.4201,1290.0389,258.6208,115.4791,34.9509,48.2203,"TCGA-28-5204-01"
"GBM(T=153,N=1157)",Tumor,25.0206,10.9599,5.65,126.2893,16.1999,7.21,11.9702,1.91,6.9201,26.23,4.3999,24.2606,40.1788,18.3095,764.0367,182.3153,10.7002,613.2781,3.1999,711.2919,161.2652,29.761,41.2598,32.5809,"TCGA-32-5222-01"
"GBM(T=153,N=1157)",Tumor,37.2395,13.1902,19.2305,83.2387,34.9291,24.9807,22.52,4.3801,29.5595,50.4601,7.5601,42.0189,69.9222,30.07,804.1931,209.0339,20.8595,939.8577,1.8899,1056.8088,240.9006,144.8474,76.3884,69.42,"TCGA-28-5209-01"
"GBM(T=153,N=1157)",Tumor,14.2798,8.0201,17.1402,207.403,34.5391,5.7699,13.07,2.15,15.2001,27.1099,5.3902,42.5111,41.8097,18.2196,474.2148,93.5512,16.1505,652.7098,1.91,183.5707,239.2863,111.7389,55.41,61.4899,"TCGA-27-2519-01"
"GBM(T=153,N=1157)",Tumor,46.9408,8.42,17.6099,75.5721,31.2992,13.68,16.1203,2,11.1299,37.0592,6.2099,33.3602,43.2002,25.6208,675.4934,160.8744,21.4103,747.7945,0.89,1002.0221,32.019,101.9831,55.0082,46.3587,"TCGA-14-0790-01"
"GBM(T=153,N=1157)",Tumor,21.1302,10.9501,22.5497,277.9333,46.2496,11.6704,18.3603,3.05,21.7197,38.8694,5.4799,49.2711,70.3598,28.3298,583.0184,205.8847,39.2811,824.6272,3.2399,891.5664,123.8619,119.9499,58.671,54.7191,"TCGA-12-0821-01"
"GBM(T=153,N=1157)",Tumor,39.6504,12.2498,20.0305,87.4316,24.2807,13.2598,14.0296,2.6801,19.7794,39.8405,7.8398,59.5519,34.7408,21.2993,596.8802,143.0514,36.4099,733.0146,5.36,895.1579,153.4251,166.6978,76.4201,69.199,"TCGA-19-2619-01"
"GBM(T=153,N=1157)",Tumor,44.111,8.2302,12.2702,48.9715,46.3394,11.8398,14.6102,2.04,13.6402,31.6592,9.7099,36.6912,40.2792,15.4197,387.7536,106.7792,15.3302,843.9995,3.8601,578.4697,446.9274,113.4716,38.4807,25.1005,"TCGA-27-1835-01"
"GBM(T=153,N=1157)",Tumor,42.461,11.4199,9.9002,267.2219,25.1196,13.7904,21.0104,4.5099,19.7,29.8292,7.77,43.2392,57.4197,18.5201,458.1248,153.4251,29.6395,716.6863,1.87,636.7564,471.4944,165.9254,42.4904,52.7088,"TCGA-12-0619-01"
"GBM(T=153,N=1157)",Tumor,20.0402,11.3402,14.41,248.2576,25.3101,6.1602,11.4603,1.74,14.8295,21.4103,3.2899,25.5499,25.1597,16.5897,379.4579,91.5498,15.6502,425.7895,2.01,208.5563,42.7712,132.256,25.5499,42.4286,"TCGA-06-0168-01"
"GBM(T=153,N=1157)",Tumor,32.0901,11.7003,10.3903,94.8111,31.7295,15.0095,12.5402,2.29,12.9303,32.2193,5.3801,50.5687,42.3904,23.3498,563.7444,134.6238,15.4401,727.7494,1.06,1251.8959,105.902,78.9398,57.1101,49.1313,"TCGA-27-2528-01"
"GBM(T=153,N=1157)",Tumor,21.9103,18.1,9.3401,87.9422,44.111,13.43,18.6296,3.3801,27.82,43.2901,8.5199,42.9107,53.341,37.031,562.5344,193.0047,28.2906,904.5763,2.07,290.7217,90.8985,129.606,98.5501,40.151,"TCGA-28-5215-01"
"GBM(T=153,N=1157)",Tumor,17.73,6.53,15.0501,54.4203,66.9206,12.0201,19.8495,2.94,27.7391,27.2795,4.74,33.5992,52.16,45.1504,434.8267,167.3577,22.2392,653.1171,0.58,1272.896,203.3037,71.2185,33.5992,69.2902,"TCGA-28-5218-01"
