SampleName,class,CODE
GSM1854864,C2,LUAD
GSM1854865,C2,LUAD
GSM1854868,C2,LUAD
GSM1854874,C2,LUAD
GSM1854875,C2,LUAD
GSM1854877,C2,LUAD
GSM1854882,C2,LUAD
GSM1854884,C2,LUAD
GSM1854885,C2,LUAD
GSM1854888,C2,LUAD
GSM1854890,C2,LUAD
GSM1854893,C2,LUAD
GSM1854895,C2,LUAD
GSM1854896,C2,LUAD
GSM1854897,C2,LUAD
GSM1854899,C2,LUAD
GSM1854900,C2,LUAD
GSM1854902,C2,LUAD
GSM1854903,C2,LUAD
GSM1854904,C2,LUAD
GSM1854908,C2,LUAD
GSM1854909,C2,LUAD
GSM1854910,C2,LUAD
GSM1854913,C2,LUAD
GSM1854915,C2,LUAD
GSM1854917,C2,LUAD
GSM1854918,C2,LUAD
GSM1854919,C2,LUAD
GSM1854922,C2,LUAD
GSM1854923,C2,LUAD
GSM1854924,C2,LUAD
GSM1854926,C2,LUAD
GSM1854927,C2,LUAD
GSM1854928,C2,LUAD
GSM1854929,C2,LUAD
GSM1854930,C2,LUAD
GSM1854931,C2,LUAD
GSM1854934,C2,LUAD
GSM1854937,C2,LUAD
GSM1854944,C2,LUAD
GSM1854945,C2,LUAD
GSM1854947,C2,LUAD
GSM1854950,C2,LUAD
GSM1854951,C2,LUAD
GSM1854952,C2,LUAD
GSM1854954,C2,LUAD
GSM1854958,C2,LUAD
GSM1854960,C2,LUAD
GSM1854961,C2,LUAD
GSM1854962,C2,LUAD
GSM1854965,C2,LUAD
GSM1854966,C2,LUAD
GSM1854967,C2,LUAD
GSM1854972,C2,LUAD
GSM1854974,C2,LUAD
GSM1854979,C2,LUAD
GSM1854980,C2,LUAD
GSM1854984,C2,LUAD
GSM1854985,C2,LUAD
GSM1854986,C2,LUAD
GSM1854987,C2,LUAD
GSM1854989,C2,LUAD
GSM1854990,C2,LUAD
GSM1854994,C2,LUAD
GSM1854997,C2,LUAD
GSM1854999,C2,LUAD
GSM1855000,C2,LUAD
GSM1855003,C2,LUAD
GSM1855004,C2,LUAD
GSM1855005,C2,LUAD
GSM1855006,C2,LUAD
GSM1855010,C2,LUAD
GSM1855011,C2,LUAD
GSM1855014,C2,LUAD
GSM1855018,C2,LUAD
GSM1855021,C2,LUAD
GSM1855026,C2,LUAD
GSM1855031,C2,LUAD
GSM1855032,C2,LUAD
GSM1855036,C2,LUAD
GSM1855039,C2,LUAD
GSM1855041,C2,LUAD
GSM1855042,C2,LUAD
GSM1855047,C2,LUAD
GSM1855049,C2,LUAD
GSM1855050,C2,LUAD
GSM1855052,C2,LUAD
GSM1855053,C2,LUAD
GSM1855054,C2,LUAD
GSM1855055,C2,LUAD
GSM1855060,C2,LUAD
GSM1855061,C2,LUAD
GSM1855062,C2,LUAD
GSM1855064,C2,LUAD
