SampleName,BCL2A1,DUSP2,FTL,HLA-E,HMGB2,ID2,JUNB,LGMN,LYZ,MALAT1,NFKB1,NR4A2,NR4A3,PIM3,PLA2G7,ZFP36,ZNF331,Group,CODE
TCGA-93-A4JP-01,33.61526852,8.84016481,17144.80665,1780.195597,93.66563526,94.97466294,544.2821472,151.6185283,1305.381073,55.29346305,38.5178946,53.4692779,1.638496083,150.1664254,25.32024235,1110.685438,9.545160032,Tumor,LUAD
TCGA-55-8614-01,11.97921149,67.47399671,10804.46921,866.4940192,98.72165321,28.21930065,610.1895821,174.1271858,106.7268422,21.98087291,43.06340334,54.93401312,32.61169393,166.3090126,12.92427155,840.694837,21.8476818,Tumor,LUAD
TCGA-05-4402-01,32.06041206,5.087376122,12375.36239,1010.763153,67.18903061,63.62083178,160.431414,314.7757583,305.5908613,13.71940164,37.18208078,5.806194221,1.231708121,92.66487756,22.41089446,87.14658167,2.406654361,Tumor,LUAD
TCGA-91-8496-01,78.02370055,8.692053817,28948.63863,909.9797374,40.82537413,81.27410093,199.3663751,119.4392865,8191.870496,6.870839714,29.45593578,15.87971182,1.534924022,96.48191861,12.20634783,136.7934479,6.983913888,Tumor,LUAD
TCGA-91-6829-01,15.90827789,12.81714157,11844.37653,1026.36928,68.53108303,35.91019057,195.2149254,191.3596935,680.862096,28.28408625,29.53341153,4.5150927,2.449234067,58.74172066,58.35865517,171.2105771,11.05668438,Tumor,LUAD
TCGA-64-5775-01,47.42848602,6.365180577,20915.73904,534.1441167,213.0856907,24.68321208,220.4487895,131.6142547,213.9541543,8.223877566,35.0729401,1.99997217,0.565449845,48.19652559,24.67102885,169.1378951,9.291110358,Tumor,LUAD
TCGA-78-8660-01,27.63716776,25.28857538,37062.76677,845.3932833,171.978037,39.57233094,366.2647739,162.3064158,888.5219275,51.32809694,43.86516645,6.198242739,1.504604818,156.4536547,40.90138146,301.8544614,5.578362217,Tumor,LUAD
TCGA-99-AA5R-01,43.08213146,47.10003791,15210.42379,2018.589737,68.11499947,73.30145925,769.5945027,163.5521454,825.9566341,65.23696974,27.84027833,46.15329537,4.358298578,113.4934963,25.41563825,3186.950152,18.53813461,Tumor,LUAD
TCGA-55-7903-01,21.45113245,8.539216771,12700.57402,697.3309297,229.7622213,35.61799917,213.3633983,160.3797939,472.1821249,131.2654357,46.99511456,8.090344109,1.460142583,118.3003093,12.21453613,170.1920631,12.83573445,Tumor,LUAD
TCGA-62-8399-01,12.31053487,19.83971227,8756.657747,626.4993653,51.57659552,102.0737606,487.126207,161.8774256,284.1209995,49.85577984,24.64479036,282.9513437,244.2729224,384.5950282,28.8603419,1407.095429,58.4440785,Tumor,LUAD
TCGA-50-6597-01,10.38295538,10.30234237,9874.580814,1485.094176,71.65922935,36.36153354,86.66915282,145.7421813,79.09057338,110.0759303,8.602403818,0.94223946,0.517996665,90.29500652,5.350348182,129.8954209,6.432918007,Tumor,LUAD
TCGA-50-5941-01,42.7978754,25.58711695,16639.18758,2097.030131,121.4781487,57.95070598,334.5099741,293.9029073,1604.605826,18.2101896,46.1939685,6.851461998,3.120170764,106.7357887,36.64495169,232.1473166,7.222931537,Tumor,LUAD
TCGA-78-7535-01,20.03741938,2.478443596,5491.551559,315.3707442,76.66460376,41.11444061,331.148214,51.35756323,49.13401556,40.15514658,9.974312345,7.379995039,0.534422353,195.4181965,7.391734667,216.962004,11.95557943,Tumor,LUAD
TCGA-78-7143-01,29.09398031,11.04515472,10059.62091,889.8228599,318.0455691,43.17220249,301.6269028,149.2367342,906.6244537,80.35083041,66.10509077,19.23743516,2.004889221,157.6939466,36.63235419,237.9183885,6.046754193,Tumor,LUAD
