CODE,Group,hsa-mir-106b,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-130b,hsa-mir-146a,hsa-mir-150,hsa-mir-155,hsa-mir-221,hsa-mir-3185,hsa-mir-4256,hsa-mir-4746,hsa-mir-511,hsa-mir-548f-1,hsa-mir-5682,hsa-mir-6127,hsa-mir-6863,hsa-mir-7-3,SampleName
LUAD,Tumor,9.09252937,5.595445775,5.342972638,5.385691458,7.870241641,10.69554411,9.228353055,7.978864295,0,0,0.735816752,5.303008206,0.41431958,0,0,0,0,TCGA-75-7025-01
LUAD,Tumor,9.852103005,6.326575889,5.505236711,6.235011948,6.622761788,8.78125538,8.068172939,7.26133812,0,0,3.721762102,4.714690074,0,0,0,0,2.340425541,TCGA-L4-A4E5-01
LUAD,Tumor,9.542973554,6.554473524,6.436886171,4.139700403,6.67778259,9.572547846,7.691406681,7.31846988,0,0,1.542416552,3.832140732,0,0.198041472,0,0,1.122420929,TCGA-50-5051-01
LUAD,Tumor,7.952671536,4.479275127,4.659778284,3.44746785,6.335724771,9.055637257,6.362033122,9.800630236,0,0,0.580587393,3.44746785,0,0,0,0,0,TCGA-05-4403-01
LUAD,Tumor,9.172399105,7.241983864,7.171814215,4.024236779,3.704561265,6.770235358,5.629592358,5.918083828,0,0,0.442884062,2.081977995,0,0,0,0,0.442884062,TCGA-78-7161-01
LUAD,Tumor,7.579807456,5.498972418,4.917360669,4.40170432,6.563435871,8.329186112,8.164241213,9.433759568,0,0,1.12732556,4.31850109,0,0,0,0,0,TCGA-05-4426-01
LUAD,Tumor,8.744548778,6.373438421,5.976559289,5.3940927,8.113866654,11.09956769,10.13600485,7.795018819,0,0,2.175913525,4.276163795,0.257594822,0,0,0,0.983620788,TCGA-50-5049-01
LUAD,Tumor,9.789201448,6.816343219,6.472251771,4.933520708,6.400502015,10.43605203,7.438389921,8.695840936,0,0,1.028399413,4.722458264,0,0,0,0,0.199797334,TCGA-44-8120-01
LUAD,Tumor,8.643263813,5.223391309,4.687057328,2.32628566,7.5895441,9.241981813,8.848481869,8.074501572,0,0,1.356953972,5.097455564,0,0,0,0,0.532192261,TCGA-91-6836-11A
LUAD,Tumor,10.44269722,7.045657531,6.83300645,6.445622612,4.591040737,8.626743863,6.921119028,7.004158498,0,0,2.148602588,3.284076254,0.699871406,0,0,0,1.169104035,TCGA-86-7713-01
LUAD,Tumor,7.953994104,5.537559015,4.872735252,4.994156764,8.286692244,8.836680599,8.556862274,8.230135049,0,0,0.893376191,4.693098172,0,0,0,0,0,TCGA-67-3773-01
LUAD,Tumor,7.810747986,5.935712857,5.591682648,5.42988918,6.914497637,10.61294739,9.74833582,6.668810742,0,0,2.05251119,2.867214086,0,0,0,0,1.364088838,TCGA-44-A479-01
