CODE,Group,DMPss,DNAss,ENHss,EREG.EXPss,EREG-METHss,RNAss,SampleName
BLCA,Tumor,0.118470677,0.261598141,0.254038718,0.543989011,0.383198186,0.514311376,TCGA-E5-A4U1-01
BLCA,Tumor,0.252473436,0.388940383,0.390697952,0.715901313,0.496936584,0.388749494,TCGA-XF-A8HF-01
BLCA,Tumor,0.245292083,0.339796837,0.365834407,0.581636764,0.430916624,0.367929637,TCGA-KQ-A41P-01
BLCA,Tumor,0.1039828,0.162291531,0.205903524,0.747830068,0.211939636,0.373267038,TCGA-BL-A13I-01
BLCA,Tumor,0.067064914,0.161291694,0.164583445,0.784931909,0.251919966,0.505911074,TCGA-ZF-AA4W-01
BLCA,Tumor,0.07528466,0.16437787,0.177000541,0.629868634,0.242882743,0.353085143,TCGA-UY-A9PA-01
BLCA,Tumor,0.151111315,0.293426774,0.322259238,0.677436292,0.415363284,0.447289847,TCGA-E5-A2PC-01
BLCA,Tumor,0.122105268,0.242807447,0.270879948,0.532383496,0.343650438,0.397582144,TCGA-UY-A9PE-01
BLCA,Tumor,0.123677909,0.244645062,0.318072623,0.669320212,0.325325505,0.315724454,TCGA-XF-A9SV-01
BLCA,Tumor,0.082606816,0.234068298,0.296238447,0.396533112,0.336173873,0.336159732,TCGA-E7-A6MF-01
BLCA,Tumor,0.111882173,0.211714403,0.233940781,0.74020854,0.290190447,0.343578142,TCGA-ZF-AA56-01
BLCA,Tumor,0.056050817,0.161447477,0.177334297,0.548268234,0.250701457,0.397394282,TCGA-DK-AA6X-01
BLCA,Tumor,0.169942895,0.282074438,0.348362789,0.5688018,0.35590372,0.20630916,TCGA-ZF-A9R9-01
BLCA,Tumor,0.09263321,0.213512671,0.274188229,0.494192385,0.296878642,0.254967186,TCGA-DK-AA6S-01
BLCA,Tumor,0.092426509,0.203254199,0.226986032,0.659603581,0.291143084,0.304098067,TCGA-KQ-A41S-01
BLCA,Tumor,0.106699197,0.239991409,0.252205927,0.795422427,0.341003844,0.50339882,TCGA-YF-AA3M-01
BLCA,Tumor,0.200971067,0.337156169,0.384696071,0.669066993,0.446590574,0.308127402,TCGA-CF-A7I0-01
BLCA,Tumor,0.153638439,0.24239393,0.283610513,0.522067505,0.311208234,0.389846759,TCGA-XF-A9T8-01
BLCA,Tumor,0.083751078,0.139606753,0.140575834,0.791180121,0.203371369,0.482784441,TCGA-CU-A0YR-01
BLCA,Tumor,0.054047102,0.191567929,0.240723351,0.527397156,0.290784768,0.354945646,TCGA-GC-A3YS-01
BLCA,Tumor,0.141963945,0.219513402,0.227066217,0.612540133,0.289944926,0.3338829,TCGA-ZF-AA4N-01
BLCA,Tumor,0.200557249,0.296700583,0.295049563,0.889825032,0.40152908,0.488427147,TCGA-XF-AAMG-01
BLCA,Tumor,0.073277228,0.151356218,0.179864996,0.53958923,0.227794643,0.451138251,TCGA-GC-A3RC-01
BLCA,Tumor,0.099441155,0.26356516,0.292169582,0.466220339,0.38249905,0.412966412,TCGA-CF-A8HY-01
BLCA,Tumor,0.143686695,0.298641972,0.298450118,0.621690979,0.424696744,0.455341192,TCGA-ZF-A9RL-01
BLCA,Tumor,0.127438483,0.233957375,0.250419605,0.641551682,0.32234991,0.421851093,TCGA-XF-A9T0-01
BLCA,Tumor,0.147456148,0.265118551,0.317359184,0.733203674,0.350298648,0.441835841,TCGA-UY-A78M-01
BLCA,Tumor,0.052146905,0.149787276,0.155861977,0.489993136,0.233698677,0.505272943,TCGA-GC-A4ZW-01
BLCA,Tumor,0.088339616,0.183504347,0.214789357,0.593452318,0.262499478,0.495111099,TCGA-K4-A4AC-01
BLCA,Tumor,0.103373344,0.212037432,0.26745156,0.692338998,0.298996228,0.497937869,TCGA-G2-A2ES-01
BLCA,Tumor,0.072750463,0.163858508,0.191229436,0.595936266,0.229947547,0.377657846,TCGA-FJ-A871-01
BLCA,Tumor,0.074863678,0.160849314,0.202294518,0.5451962,0.234891636,0.266360314,TCGA-GD-A3OP-01
BLCA,Tumor,0.047076343,0.159158192,0.200426763,0.800510932,0.239047111,0.25192225,TCGA-FD-A3SL-01
BLCA,Tumor,0.14718265,0.221391382,0.250918303,0.657478145,0.285106587,0.298245676,TCGA-XF-A9T3-01
BLCA,Tumor,0.144858296,0.260600956,0.279815272,0.601554063,0.368164718,0.478566968,TCGA-ZF-AA4V-01
BLCA,Tumor,0.137534757,0.276760251,0.299604156,0.587507724,0.384383481,0.328742429,TCGA-XF-AAMW-01
BLCA,Tumor,0.069604011,0.180779749,0.234017091,0.771260359,0.262539706,0.421960997,TCGA-G2-A2EO-01
BLCA,Tumor,0.112552188,0.223612586,0.213329099,0.720013998,0.324324142,0.317175216,TCGA-XF-A8HH-01
BLCA,Tumor,0.085873398,0.171199425,0.212357742,0.56894914,0.242757503,0.376775874,TCGA-FD-A3B7-01
BLCA,Tumor,0.090389643,0.189334336,0.212467591,0.564032132,0.270868259,0.212434231,TCGA-K4-A3WU-01
BLCA,Tumor,0.034012023,0.160253342,0.138937695,0.381579356,0.272444383,0.286536396,TCGA-CF-A47V-01
BLCA,Tumor,0.128335341,0.228365298,0.259176574,0.801077661,0.322349446,0.461548744,TCGA-DK-A3X1-01
BLCA,Tumor,0.178823486,0.296920685,0.31941625,0.544916092,0.400586333,0.480695069,TCGA-4Z-AA81-01
BLCA,Tumor,0.173635695,0.354281428,0.437156914,0.552191208,0.476303185,0.453930708,TCGA-CF-A3MG-01
BLCA,Tumor,0.16521713,0.358649423,0.44430233,0.466467913,0.493069847,0.404101996,TCGA-S5-AA26-01
BLCA,Tumor,0.089469612,0.223675221,0.220093866,0.530592535,0.344051148,0.512634415,TCGA-ZF-A9R4-01
BLCA,Tumor,0.060148339,0.157273342,0.17137618,0.785439802,0.241501724,0.338932061,TCGA-GC-A3OO-01
BLCA,Tumor,0.19336085,0.289154619,0.310023712,0.628807532,0.385181451,0.553848215,TCGA-YC-A9TC-01
BLCA,Tumor,0.106199804,0.225998725,0.237290597,0.351400017,0.337965124,0.371635566,TCGA-YF-AA3L-01
BLCA,Tumor,0.099091661,0.195614815,0.220601944,0.725415075,0.282003414,0.381315743,TCGA-XF-A9SJ-01
BLCA,Tumor,0.105290406,0.243618945,0.271422115,0.721471207,0.359983518,0.358746168,TCGA-ZF-A9R0-01
BLCA,Tumor,0.088238646,0.23099582,0.280422778,0.65029483,0.330487416,0.460734737,TCGA-BT-A42C-01
BLCA,Tumor,0.189839949,0.326968886,0.338410866,0.493227747,0.460191336,0.442959735,TCGA-GU-A42P-01
BLCA,Tumor,0.140459844,0.283592329,0.298070938,0.72774227,0.405740487,0.489702342,TCGA-2F-A9KP-01
BLCA,Tumor,0.117737384,0.218849792,0.267806588,0.63261785,0.298457804,0.501657716,TCGA-CU-A3QU-01
BLCA,Tumor,0.130676036,0.233771178,0.290973811,0.82145391,0.302992174,0.465213832,TCGA-DK-AA6Q-01
BLCA,Tumor,0.040937835,0.112995464,0.086646683,0.774561215,0.187876402,0.401028886,TCGA-BT-A20P-01
BLCA,Tumor,0.153671319,0.281857386,0.27743396,0.567515559,0.393142381,0.565170171,TCGA-ZF-A9RN-01
BLCA,Tumor,0.047903676,0.136474978,0.181555821,0.529064026,0.198484316,0.519483151,TCGA-GV-A3QI-01
BLCA,Tumor,0.072987561,0.171579647,0.190451368,0.516124361,0.249827015,0.335117713,TCGA-FD-A5BU-01
BLCA,Tumor,0.105103008,0.224722031,0.23773168,0.844584294,0.325062082,0.43140715,TCGA-FD-A3NA-01
BLCA,Tumor,0.172618317,0.281377422,0.280952144,0.644507006,0.373582051,0.497257608,TCGA-DK-AA76-01
